"gross" "show" "week_ending" "id.show" "id.year" "id.week"
0.737518 "Beauty and the Beast" 2000-01-02 1 1 31
0.656076 "Chicago" 2000-01-02 2 1 31
0.626638 "Les Miserables" 2000-01-02 4 1 31
0.575779 "Rent" 2000-01-02 6 1 31
1.073188 "The Lion King" 2000-01-02 8 1 31
0.916885 "The Phantom of the Opera" 2000-01-02 9 1 31
0.50021 "Beauty and the Beast" 2000-01-09 1 1 32
0.431218 "Chicago" 2000-01-09 2 1 32
0.45907 "Les Miserables" 2000-01-09 4 1 32
0.49966 "Rent" 2000-01-09 6 1 32
0.927843 "The Lion King" 2000-01-09 8 1 32
0.614725 "The Phantom of the Opera" 2000-01-09 9 1 32
0.542212 "Beauty and the Beast" 2000-01-16 1 1 33
0.510398 "Chicago" 2000-01-16 2 1 33
0.458927 "Les Miserables" 2000-01-16 4 1 33
0.486611 "Rent" 2000-01-16 6 1 33
0.929752 "The Lion King" 2000-01-16 8 1 33
0.548217 "The Phantom of the Opera" 2000-01-16 9 1 33
0.436007 "Beauty and the Beast" 2000-01-23 1 1 34
0.511264 "Chicago" 2000-01-23 2 1 34
0.369924 "Les Miserables" 2000-01-23 4 1 34
0.436514 "Rent" 2000-01-23 6 1 34
0.93045 "The Lion King" 2000-01-23 8 1 34
0.523618 "The Phantom of the Opera" 2000-01-23 9 1 34
0.403743 "Beauty and the Beast" 2000-01-30 1 1 35
0.537808 "Chicago" 2000-01-30 2 1 35
0.36006 "Les Miserables" 2000-01-30 4 1 35
0.389344 "Rent" 2000-01-30 6 1 35
0.931178 "The Lion King" 2000-01-30 8 1 35
0.552114 "The Phantom of the Opera" 2000-01-30 9 1 35
0.426611 "Beauty and the Beast" 2000-02-06 1 1 36
0.537371 "Chicago" 2000-02-06 2 1 36
0.35425 "Les Miserables" 2000-02-06 4 1 36
0.399676 "Rent" 2000-02-06 6 1 36
0.937552 "The Lion King" 2000-02-06 8 1 36
0.551417 "The Phantom of the Opera" 2000-02-06 9 1 36
0.512638 "Beauty and the Beast" 2000-02-13 1 1 37
0.598814 "Chicago" 2000-02-13 2 1 37
0.416994 "Les Miserables" 2000-02-13 4 1 37
0.449687 "Rent" 2000-02-13 6 1 37
0.938336 "The Lion King" 2000-02-13 8 1 37
0.60479 "The Phantom of the Opera" 2000-02-13 9 1 37
0.574884 "Beauty and the Beast" 2000-02-20 1 1 38
0.668813 "Chicago" 2000-02-20 2 1 38
0.46398 "Les Miserables" 2000-02-20 4 1 38
